danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.62,0.404,1,-9.55,0,0.0641,0.364,1.45e-06,0.392,0.55,147.891,audio_features,6YjjYEAcnlzZavu53uTpDw,spotify:track:6YjjYEAcnlzZavu53uTpDw,https://api.spotify.com/v1/tracks/6YjjYEAcnlzZavu53uTpDw,https://api.spotify.com/v1/audio-analysis/6YjjYEAcnlzZavu53uTpDw,171907,4
0.548,0.589,2,-13.08,0,0.0865,0.561,0.0,0.29,0.925,86.859,audio_features,2SnJmKJAp8fPJ9WV5eqs6g,spotify:track:2SnJmKJAp8fPJ9WV5eqs6g,https://api.spotify.com/v1/tracks/2SnJmKJAp8fPJ9WV5eqs6g,https://api.spotify.com/v1/audio-analysis/2SnJmKJAp8fPJ9WV5eqs6g,162667,4
0.696,0.27,0,-10.493,1,0.0352,0.658,0.00137,0.0699,0.274,148.062,audio_features,1h0f2T0DT3EVYnURyV8Rtu,spotify:track:1h0f2T0DT3EVYnURyV8Rtu,https://api.spotify.com/v1/tracks/1h0f2T0DT3EVYnURyV8Rtu,https://api.spotify.com/v1/audio-analysis/1h0f2T0DT3EVYnURyV8Rtu,249940,4
0.606,0.563,0,-6.604,1,0.0307,0.728,0.000362,0.335,0.464,124.181,audio_features,7qvL8BbYdxvhOinapMiEeF,spotify:track:7qvL8BbYdxvhOinapMiEeF,https://api.spotify.com/v1/tracks/7qvL8BbYdxvhOinapMiEeF,https://api.spotify.com/v1/audio-analysis/7qvL8BbYdxvhOinapMiEeF,262533,4
0.846,0.564,7,-10.323,0,0.0474,0.248,8.81e-05,0.091,0.637,141.886,audio_features,3voQ4FSnDNKEKuBNeJjAR5,spotify:track:3voQ4FSnDNKEKuBNeJjAR5,https://api.spotify.com/v1/tracks/3voQ4FSnDNKEKuBNeJjAR5,https://api.spotify.com/v1/audio-analysis/3voQ4FSnDNKEKuBNeJjAR5,174653,4
0.64,0.724,2,-4.428,1,0.0461,0.398,0.0,0.0854,0.499,125.196,audio_features,0J2VcHuiC8fcIG0nDajk0B,spotify:track:0J2VcHuiC8fcIG0nDajk0B,https://api.spotify.com/v1/tracks/0J2VcHuiC8fcIG0nDajk0B,https://api.spotify.com/v1/audio-analysis/0J2VcHuiC8fcIG0nDajk0B,152960,4
0.64,0.724,2,-4.428,1,0.0461,0.398,0.0,0.0854,0.499,125.196,audio_features,0J2VcHuiC8fcIG0nDajk0B,spotify:track:0J2VcHuiC8fcIG0nDajk0B,https://api.spotify.com/v1/tracks/0J2VcHuiC8fcIG0nDajk0B,https://api.spotify.com/v1/audio-analysis/0J2VcHuiC8fcIG0nDajk0B,152960,4
0.544,0.67,2,-7.694,1,0.0283,0.142,7.65e-06,0.742,0.24,119.946,audio_features,2IcsM3hXMRpN6ZGEvwdqxU,spotify:track:2IcsM3hXMRpN6ZGEvwdqxU,https://api.spotify.com/v1/tracks/2IcsM3hXMRpN6ZGEvwdqxU,https://api.spotify.com/v1/audio-analysis/2IcsM3hXMRpN6ZGEvwdqxU,244267,4
0.82,0.512,9,-11.15,1,0.0709,0.342,0.000176,0.12,0.922,94.951,audio_features,5QUoiOFWAaV5VC2VbBhHJ4,spotify:track:5QUoiOFWAaV5VC2VbBhHJ4,https://api.spotify.com/v1/tracks/5QUoiOFWAaV5VC2VbBhHJ4,https://api.spotify.com/v1/audio-analysis/5QUoiOFWAaV5VC2VbBhHJ4,228875,4
0.694,0.352,8,-14.312,0,0.0728,0.877,0.0,0.0937,0.401,119.969,audio_features,6zQTiw3M1p58eklHhCBWyi,spotify:track:6zQTiw3M1p58eklHhCBWyi,https://api.spotify.com/v1/tracks/6zQTiw3M1p58eklHhCBWyi,https://api.spotify.com/v1/audio-analysis/6zQTiw3M1p58eklHhCBWyi,232093,4
