,popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
1005,0.8854166666666666,0.26083093326796986,0.0,0.7052463867076364,0.6729769121699992,1.0,0.6944144497889468,0.0,0.04115384615384615,0.14994934143870314,5.4479917610710606e-05,0.29370701160045176,0.49347258485639683,0.45337219782537813
1665,0.010416666666666666,0.12555916416447088,0.0,0.647206099920337,0.3089512119555641,0.4545454545454546,0.5830961028762149,1.0,0.05096153846153846,0.7983789260385006,0.0,0.1315060055435787,0.6710182767624021,0.6029493547088038
746,0.40625,0.1656453622566742,0.0,0.6847615796062366,0.6789773357999075,1.0,0.6741435162461962,0.0,0.09307692307692307,0.6818642350557245,0.0004541709577754892,0.6057899599630429,0.8934725848563968,0.5109082657359643
2851,0.5104166666666666,0.1913643605613089,0.0,0.43325367019460564,0.9859990115302141,0.18181818181818182,0.7841857269068422,1.0,0.09692307692307693,1.6312056737588652e-05,0.036457260556127705,0.05851555281798583,0.627154046997389,0.6965053918090525
291,0.46875,0.23658388994423674,0.0,0.4821895982701719,0.4949643444827205,0.9090909090909092,0.5353882399136155,1.0,0.008846153846153844,0.7588652482269505,0.0018640576725025748,0.15614413304588853,0.6386422976501305,0.18442735600002552
781,0.41666666666666663,0.2707273730007966,0.0,0.4150449527711392,0.13693906789819363,0.6363636363636364,0.3963384705997841,1.0,0.018653846153846146,0.8703140830800405,0.0,0.07524894774663793,0.3138381201044386,0.29092117795207145
2144,0.3125,0.2447785812039136,1.0,0.3046546033913736,0.9489963991457796,0.09090909090909091,0.6751251595170316,1.0,0.2634615384615384,0.03333333333333333,8.197734294541709e-05,0.5031310953700853,0.25430809399477805,0.5698761833534687
322,0.4583333333333333,0.21682930939395795,0.0,0.7211790144531696,0.13093864426828533,0.6363636363636364,0.25841759104741335,1.0,0.013076923076923076,0.6595744680851064,0.0005520082389289392,0.1263730623139308,0.16866840731070495,0.37163531299339686
298,0.44791666666666663,0.3033503891169802,0.0,0.4537384772960055,0.7039791009245252,0.4545454545454546,0.7860999312849711,1.0,0.015384615384615385,0.14083080040526852,0.0,0.10686787804126888,0.5279373368146214,0.3178706349358544
1298,0.020833333333333332,0.20183273076373143,0.0,0.6415158757255036,0.7519824899637915,0.0,0.5977716697752038,1.0,0.7076923076923077,0.04022289766970618,1.4109165808444903e-06,0.03079765937788728,0.6668407310704961,0.5301679227312532
194,0.46875,0.27970719202565514,0.0,0.32172527597587347,0.6779772651949229,0.8181818181818182,0.6320310199273584,1.0,0.042499999999999996,0.19959473150962515,0.0,0.9866543476029155,0.551958224543081,0.8086243376097058
63,0.5104166666666666,0.22762066711604056,0.0,0.5823375440992375,0.5619690750166962,0.6363636363636364,0.611956415038775,0.0,0.007307692307692307,0.14083080040526852,0.0,0.1304794168976491,0.3054830287206266,0.6324876471001848
