,popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
2637,0.22916666666666666,0.3215091815266458,0.0,0.13963810174120858,0.971998023060428,0.0,0.8174143516246197,0.0,0.1942307692307692,2.6443768996960488e-05,0.8815653964984552,0.36146186223180377,0.017336814621409926,0.6013385237885207
2566,0.22916666666666666,0.31339491798925584,0.0,0.4070786388983726,0.9809986585052904,0.4545454545454546,0.7945420634141553,0.0,0.22115384615384615,1.1043566362715301e-05,0.0029969104016477855,0.03993429832666051,0.1843342036553525,0.5688917866799623
2292,0.25,0.37169352697264946,0.0,0.27278934790030723,0.9139939279713148,0.7272727272727273,0.6661431235888878,1.0,0.056730769230769224,1.3272543059777104e-06,0.9382080329557159,0.05985011805769429,0.26266318537859007,0.5665266777890705
1909,0.6354166666666666,0.3283187286802704,0.0,0.5743712302264711,0.31495163558547234,0.6363636363636364,0.4632374595072152,0.0,0.07596153846153846,0.5754812563323202,0.0,0.06108202443280977,0.24490861618798956,0.5899348636227075
790,0.41666666666666663,0.24837101946606205,0.0,0.5675429611926711,0.48396356782788863,0.0,0.4553352311769904,1.0,0.009999999999999995,0.4002026342451875,0.0,0.18899496971563498,0.9874673629242818,0.5088308052236945
2120,0.5729166666666666,0.3204240455910288,0.0,0.4491862979401388,0.9769983760853516,0.9090909090909092,0.7879159713360167,0.0,0.10596153846153845,0.0005420466058763931,0.486096807415036,0.08941587106046607,0.33159268929503916,0.773595157279741
1446,0.0,0.24859187654472292,0.0,0.7280072834869694,0.853989691672232,0.8181818181818182,0.8009718268381272,1.0,0.09711538461538459,0.24214792299898683,0.0,0.08110050302843651,0.7911227154046997,0.2807639940936199
247,0.46875,0.34015181690054536,0.0,0.24433822692614093,0.7439819251239137,0.6363636363636364,0.6734563659566114,1.0,0.054230769230769235,0.028470111448834854,7.785787847579815e-05,0.9486705677035212,0.4120104438642297,0.28263690464775854
829,0.4270833333333333,0.18372500357456545,0.0,0.8406737225446683,0.5579687925967574,1.0,0.7518405811328164,1.0,0.03423076923076923,0.4133738601823708,0.039958805355303814,0.09865516887383226,0.7723237597911227,0.28749496615337417
1124,0.0,0.16656453622566741,0.0,0.7154887902583363,0.6939783948746782,0.0,0.6800333758712085,1.0,0.03942307692307691,0.4508611955420466,0.0,0.19618109023714198,0.8663185378590078,0.40851183513273365
2720,0.22916666666666666,0.21977960250832362,1.0,0.34107203823830656,0.9599971758006115,0.0,0.7392755472661235,1.0,0.34038461538461534,0.0004245187436676799,0.6848609680741504,0.4764397905759163,0.11749347258485639,0.6272524466092648
626,0.4270833333333333,0.19881988275425372,0.0,0.8520541709343349,0.29094994106583927,0.6363636363636364,0.5165897712771179,1.0,0.021346153846153848,0.8480243161094225,0.0,0.06775485063135202,0.7921671018276762,0.34462832633388935
347,0.44791666666666663,0.3128485201299099,0.0,0.9032661886878344,0.19094288056736805,0.6363636363636364,0.49582801609894966,1.0,0.032115384615384615,0.9037487335359676,3.05870236869207e-06,0.09557540293604354,0.2616187989556136,0.39618770015533006
