 ,index,node_id,Unnamed: 0,track_id,artists,album_name,track_name,popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,track_genre
34,34,158,74034,13W4Zc0dy3tzOzlKyuIsMh,Almir Sater;Renato Teixeira,AR,A Flor Que A Gente Assopra,50,186160,False,0.675,0.413,0,-9.974,1,0.0338,0.791,0.0,0.0928,0.504,114.122,3,mpb
35,35,163,74035,5inhNJDsdUL02QKh4nCfwa,Benito Di Paula,Um Novo Samba,Retalhos De Cetim,51,233293,False,0.411,0.61,9,-6.444,0,0.036,0.384,0.0,0.279,0.498,116.006,4,mpb
36,36,34,74036,4MmDaMzOyCDEMCGkl55hva,Lulu Santos,Só as Melhores do Pop Rock Brasileiro,Tudo azul,0,218066,False,0.565,0.61,0,-13.236,1,0.0372,0.568,0.0,0.245,0.921,93.504,4,mpb
37,37,34,74037,4MneVvYOxU1LaySFx8n98p,Nando Reis,Só as Melhores do Pop Rock Brasileiro,Me diga,0,255093,False,0.533,0.905,4,-5.858,1,0.0612,0.238,6.12e-06,0.223,0.726,86.503,4,mpb
38,38,39,74038,2kbTb1Unb8QdXAoajQLHOp,Jorge Ben Jor,Ressaquinha,Alcohol,0,355440,False,0.736,0.704,11,-9.654,0,0.0398,0.278,0.0,0.0966,0.96,97.378,4,mpb
39,39,48,74039,52gGYiO7QQtQMpvF8OBHDV,Lulu Santos,Só as Melhores do Pop Rock Brasileiro,Um certo alguém,0,213573,False,0.684,0.708,9,-11.404,1,0.0299,0.513,2.19e-06,0.088,0.84,134.685,4,mpb
40,40,44,74040,2bpHdsoyZUquMFWVill9Aj,Chico Buarque,Fiesta temática 70s,Construção,0,383626,False,0.479,0.722,4,-5.615,0,0.0299,0.24,1.18e-05,0.158,0.59,126.726,4,mpb
41,41,161,74041,2nPjqjeE2NnjPr1rkoi4kK,Dalto,Meus Momentos,Espelhos D'Água,50,175800,False,0.617,0.568,9,-10.731,0,0.0279,0.0523,2.01e-05,0.152,0.526,113.571,4,mpb
42,42,158,74042,4aZxMIynfK07iuw8bDAQ9O,Paulo Ricardo,O Amor Me Escolheu,Tudo Por Nada,51,264506,False,0.654,0.593,0,-8.189,0,0.0284,0.043,1.36e-06,0.0555,0.555,94.561,4,mpb
43,43,60,74043,0UmgSmZATW9Lp6VJ7iKtpX,Jorge Ben Jor,Só as Melhores do Pop Rock Brasileiro,Homem do espaço,0,296200,False,0.497,0.931,9,-6.104,1,0.126,0.0832,0.0,0.0513,0.95,197.08,4,mpb
44,44,163,74044,6X9rlFcbOE0SsrarJ8PFMQ,Legião Urbana,Acústico (Ao Vivo Em São Paulo / 1999),O Teatro Dos Vampiros - Ao Vivo Em São Paulo / 1999,51,336733,False,0.543,0.358,7,-8.927,1,0.151,0.546,0.0,0.226,0.441,110.457,4,mpb
45,45,64,74045,3z0EtPdwFYDN3uXYheXliS,Nando Reis,Só as Melhores do Pop Rock Brasileiro,Cegos do castelo,0,258265,False,0.357,0.706,5,-5.879,1,0.0302,0.345,0.0021,0.307,0.389,154.651,4,mpb
46,46,187,74046,28IXLE3uhY2qgRO9cGkiXr,Fagner,Ensaio,Canteiros,52,329429,False,0.436,0.27,2,-17.508,1,0.0462,0.865,0.00127,0.189,0.421,140.012,4,mpb
47,47,163,74047,2ReXjoXXQ6diAn9RocOE1F,Fagner,Romance no Deserto,Deslizes,52,252000,False,0.54,0.394,11,-15.022,1,0.0284,0.244,0.0,0.316,0.49,136.48,4,mpb
48,48,75,74048,5uyHnjSjznvJPQNEgkB9lx,Jorge Ben Jor,Fiesta temática 70s,Os Alquimistas Estão Chegando Os Alquimistas,0,193120,False,0.546,0.85,9,-8.415,1,0.0498,0.449,0.000779,0.74,0.747,100.304,4,mpb
49,49,200,74049,1BbAOkMtbPRyjh4MDVB3q7,Dalto,Meus Momentos,Muito Estranho (Cuida Bem de Mim),49,236666,False,0.665,0.562,7,-10.964,1,0.0239,0.0211,0.000437,0.294,0.568,107.467,4,mpb
50,50,155,74050,29kk1Xf5AsU2EuxtsgnyLu,5 a Seco;Pedro Altério;Tó Brandileone,Síntese,Pensando Bem,48,199906,False,0.616,0.436,9,-11.003,1,0.0288,0.246,1.28e-05,0.107,0.264,122.892,4,mpb
51,51,187,74051,5HnS5kHBcUEleSVO0IooQD,Agnes Nunes;Neo Beats,Cabelo Bagunçado,Cabelo Bagunçado,49,231000,False,0.494,0.442,9,-8.764,1,0.106,0.437,0.00049,0.111,0.4,89.506,5,mpb
52,52,163,74052,7cq2nIdClANqlwH4okuYm3,UM44K;Luan Otten,Melhor pensar,Melhor pensar,48,205345,False,0.665,0.431,8,-7.119,1,0.0306,0.416,0.0,0.174,0.698,149.935,4,mpb
53,53,158,74053,0aVYEeKLtAXlK81CYQrcch,Alceu Valença,Sem Pensar No Amanhã,La Belle de Jour,49,232369,False,0.551,0.308,0,-10.455,1,0.0347,0.922,0.000211,0.109,0.536,101.146,4,mpb
54,54,158,74054,4bRdtnPxQOCtszlhXHSGFX,ANAVITÓRIA,COR,Carvoeiro,49,264080,False,0.71,0.447,0,-9.281,1,0.0306,0.0987,9.36e-05,0.105,0.543,125.947,4,mpb
55,55,158,74055,5SdrxYs7ur0SRi3wSyuZVW,Fran;Chico Chico,Onde?,Árvore,48,187216,False,0.764,0.386,7,-9.049,0,0.0698,0.71,3.08e-05,0.0848,0.345,77.064,4,mpb
56,56,191,74056,2gOhhHSjm3iw4NFY43carm,Os Paralamas Do Sucesso,Acústico (Live),Caleidoscópio - Ao Vivo,50,256720,False,0.567,0.494,7,-11.309,1,0.046,0.245,0.00132,0.712,0.547,175.448,4,mpb
57,57,163,74057,6RwHnLWSve1HAZxSAGFJvY,Melim,Amores E Flores,Paz E Amor,47,201404,False,0.683,0.541,5,-8.623,1,0.0448,0.565,1.48e-06,0.244,0.657,139.967,4,mpb
58,58,155,74058,0jd5bGUSDGMjLMNlLHyCvY,Lado de Cá,Mistério,Mistério,47,195344,False,0.656,0.548,9,-5.796,0,0.0276,0.247,0.0,0.104,0.103,133.064,4,mpb
59,59,158,74059,39UkIK4DqL9MBEyzsUwzgy,Sandy,Sim,Morada,47,176680,False,0.383,0.145,2,-14.822,1,0.0314,0.929,6.72e-06,0.111,0.337,145.069,3,mpb
60,60,158,74060,4YcmerIhkPBDxwYJGrYtlX,Lado de Cá;Lays Barros,Tudo por Você,Tudo por Você,47,199020,False,0.679,0.329,3,-10.705,1,0.0325,0.585,0.0,0.138,0.656,97.056,4,mpb
61,61,165,74061,188hS38eydh94oO6rjiB81,Diogo Nogueira,Flor de Caña,Flor de Caña,49,221669,False,0.519,0.743,9,-7.7,1,0.122,0.416,0.0,0.0853,0.778,185.842,4,mpb
62,62,165,74062,6XymeWgTguSv5cz9LuDclr,Nando Reis;Andrea Martins,Luau (Ao Vivo Em São Paulo / 2007),Luz Dos Olhos - Ao Vivo Em São Paulo / 2007,49,306813,False,0.467,0.694,7,-6.637,1,0.0304,0.46,0.0,0.747,0.336,91.008,4,mpb
63,63,158,74063,0OwkWUJHTcxJSxlprEGd9w,Detonautas Roque Clube,Detonautas Acústico,O Amanhã,49,211706,False,0.563,0.562,7,-8.621,0,0.0268,0.139,0.0,0.145,0.314,149.984,4,mpb
64,64,163,74064,3JPTkwFCf0SHfRVWOpZetC,Vicka,De Cabeça Pra Baixo,A Vida Não Erra,47,185500,False,0.549,0.599,11,-6.791,1,0.0313,0.283,0.0,0.153,0.711,157.737,4,mpb
65,65,158,74065,5PdfrU4HtenDpSQDt7pcRq,Melim,Eu Feat. Você,Pega A Visão,47,162677,False,0.624,0.549,4,-8.035,1,0.0364,0.746,0.0,0.0881,0.528,84.976,4,mpb
66,66,165,74066,7vMa1EWSLnbjSCcaniuZsL,Luiza Possi;Lulu Santos,Agridoce,Agridoce,47,157647,False,0.762,0.782,8,-4.169,0,0.15,0.306,0.0,0.161,0.602,102.058,4,mpb
67,67,165,74067,1jdAzKbRRrIQ3fpodftKfj,Legião Urbana,Mais Do Mesmo,Geração Coca-Cola,49,141400,False,0.574,0.89,6,-5.789,0,0.041,0.082,0.0,0.0741,0.83,97.9,4,mpb
68,68,158,74068,4Pv8mosWoVjK2KxtrhQF70,Sandy;Melim,Eu Pra Você,Eu Pra Você,47,198071,False,0.566,0.517,1,-8.99,1,0.0277,0.65,0.0,0.108,0.503,179.861,4,mpb
69,69,165,74069,6PkaFe1OrijLrChCBGrdAY,Beto Guedes,Contos Da Lua Vaga,O Sal Da Terra,49,209226,False,0.454,0.803,5,-7.768,0,0.0403,0.0378,1.03e-06,0.19,0.403,106.251,4,mpb
70,70,158,74070,3QDVjlsgentnqGO3o51ADq,MPB4,Toquinho & Vinicius Sem Limite,O Pato,49,127720,False,0.518,0.617,7,-5.353,1,0.152,0.836,0.0,0.0801,0.93,204.767,3,mpb
71,71,161,74071,1ymzRzXjkmIgI8K5LQHsfe,Marisa Monte,Marisa Monte MM (Ao Vivo),"Lenda das Sereias, Rainha do Mar - Ao Vivo",47,250400,False,0.668,0.36,1,-19.89,1,0.0483,0.0933,3.3e-06,0.664,0.979,154.385,4,mpb
72,72,165,74072,60SVKic93qC7WC7cdm3y4U,Raul Seixas,Abre-Te Sésamo,Aluga-Se,50,158266,False,0.71,0.823,0,-8.713,1,0.0901,0.467,0.0,0.0982,0.967,143.138,4,mpb
73,73,165,74073,3G7Y6YBp2OjIe8hez3HCoq,Nenhum De Nós,Histórias Reais Seres Imaginários,Amanhã ou Depois,50,203466,False,0.56,0.783,7,-5.695,1,0.0249,0.136,1.18e-05,0.329,0.734,94.008,4,mpb
74,74,165,74074,3Ob98mJElVwt9PwhuFqtIP,Raul Seixas,Bis - Raul Seixas,Cowboy Fora Da Lei,50,215426,False,0.43,0.744,7,-7.924,1,0.0707,0.0491,0.0,0.295,0.812,172.522,4,mpb
75,75,165,74075,1VHjjOOllU87VRa8B2EWiX,Papas Da Língua,Papas Da Língua,Blusinha Branca,49,298453,False,0.601,0.899,9,-6.713,1,0.0651,0.213,0.0,0.721,0.779,170.098,4,mpb
76,76,163,74076,4VGQN7oQSJeaGkg7WXy2MT,Zé Ramalho,Zé Ramalho (Versão com Faixas Bônus),Chão de Giz,48,285360,False,0.277,0.427,7,-9.124,1,0.0308,0.703,0.000221,0.267,0.561,145.24,3,mpb
77,77,158,74077,1HKPdrg02TfuNZK1Q0YIut,Tiê,iCollection,Amuleto,48,206585,False,0.551,0.254,11,-7.968,1,0.0282,0.917,7.77e-06,0.104,0.382,94.616,4,mpb
78,78,195,74078,0bLavFKcMljHzTJAx3sHNS,Capital Inicial;Seu Jorge,Capital Inicial Acústico NYC (Ao Vivo) [Deluxe],À Sua Maneira (De Música Ligera) (feat. Seu Jorge) - Ao Vivo,49,267120,False,0.582,0.813,0,-4.558,1,0.0295,0.0819,0.00119,0.902,0.345,109.934,4,mpb
79,79,165,74079,0g8L4DJyzH7CG0nPqGtNlR,Nando Reis;Cachorro Grande,A Arte De Nando Reis,Por Onde Andei - Ao Vivo,49,235626,False,0.386,0.819,0,-7.89,1,0.0523,0.131,8.36e-06,0.365,0.817,172.034,4,mpb
80,80,163,74080,7y6vnVnkRzcxUZMdoCaksh,Elza Soares;Chico Buarque,Do Cóccix Até o Pescoço,Façamos (Vamos Amar),47,353346,False,0.664,0.28,2,-7.606,0,0.0362,0.779,0.0,0.159,0.41,115.116,4,mpb
81,81,163,74081,7nTWWVvcAqC34Q4JVyovdG,Nando Reis,"Nando Reis - Voz e Violão - No Recreio, Vol. 1 (Ao Vivo)",Pra Você Guardei o Amor - Ao Vivo,48,312733,False,0.441,0.33,2,-11.733,1,0.0352,0.892,1.5e-05,0.922,0.381,142.014,4,mpb
82,82,200,74082,18TFoAFWWnioLhmnyfRdLr,Marisa Monte,"Memórias, Crônicas e Declarações de Amor",Gentileza - 2004 Digital Remaster,46,167266,False,0.659,0.47,0,-7.808,1,0.0272,0.611,0.0092,0.102,0.579,145.988,4,mpb
83,83,165,74083,64JF6DqxJsGxiyUAhbHX49,Ednardo,Ednardo,Enquanto Engoma A Calça,48,213133,False,0.655,0.759,0,-9.235,1,0.25,0.249,0.0,0.18,0.707,97.455,4,mpb
84,84,158,74084,5HaAOqKwmgyXNAZKGVhdsS,Renato Teixeira,Renato Teixeira Obra Completa na RCA de 1978 a 1982 (Remasterizado),Romaria - Remasterizado,47,243466,False,0.505,0.346,2,-10.3,1,0.0263,0.6,2.5e-06,0.0787,0.377,92.412,3,mpb
85,85,191,74085,5JpyE359EeMFUxMNlitKqq,Jorge Aragão,Ao vivo 2,Papel de pão - Ao vivo,47,241666,False,0.492,0.775,2,-9.836,0,0.0373,0.653,0.0469,0.41,0.811,155.835,4,mpb
86,86,34,74086,5dva7BVCxokQMBpa6c3iBi,Titãs,Só as Melhores do Pop Rock Brasileiro,Família,0,249866,False,0.558,0.683,7,-6.061,1,0.0807,0.0248,7.85e-05,0.062,0.624,79.508,4,mpb
87,87,55,74087,1wyzGqooLn3uYe9ejz2VOi,Titãs,Só as Melhores do Pop Rock Brasileiro,Domingo,0,253666,False,0.617,0.771,7,-8.601,1,0.0328,0.00832,0.000115,0.301,0.881,140.211,4,mpb
88,88,129,74088,6BK1Z6VNYJjJ1wfwU8wdCr,Legião Urbana,Legião Urbana,A Dança,48,242000,False,0.759,0.389,11,-13.917,0,0.0648,0.00171,0.00175,0.1,0.68,136.059,4,mpb
89,89,158,74089,2306rS3JUCDgDoplIaKwQO,Renato Russo;Erasmo Carlos,Presente,A Carta,47,240613,False,0.636,0.607,8,-5.054,1,0.0243,0.522,1.1e-05,0.0978,0.423,93.144,4,mpb
90,90,163,74090,3ITKjAINIrsm72X8YUHDGH,Jorge Aragão,Ao vivo convida (Redux),Falsa consideração - Ao vivo,48,228413,False,0.509,0.623,7,-10.397,1,0.0663,0.41,3.61e-06,0.893,0.496,105.736,4,mpb
91,91,165,74091,0FcYoRbrZ9eR2bc5nw6feN,Engenheiros Do Hawaii,Longe Demais Das Capitais,Toda Forma De Poder,50,195066,False,0.325,0.947,2,-7.304,1,0.115,0.174,0.0,0.116,0.593,202.846,4,mpb
92,92,84,74092,6N7tD8zXsfjC19RIHhzg4i,Kid Abelha,Só as Melhores do Pop Rock Brasileiro,Alice (Não me escreva aquela carta de amor),0,188506,False,0.585,0.7,11,-8.591,0,0.0847,0.085,0.245,0.103,0.951,177.588,4,mpb
93,93,158,74093,7InhciU9aU4MvkeO0XFjlv,Guilherme Arantes,Lance Legal,Cheia De Charme,48,261666,False,0.752,0.661,2,-6.133,1,0.0292,0.496,4.58e-05,0.0746,0.842,124.725,4,mpb
94,94,191,74094,6Q4no26EaF80ttkI9HEWME,Casuarina,Roda de Samba do Casuarina e Convidados,Canto de Ossanha,48,264533,False,0.435,0.708,9,-8.022,0,0.0375,0.649,0.0021,0.741,0.729,95.75,4,mpb
95,95,75,74095,2vfZqjFC0QsRMewYWAiY9Y,Kid Abelha,Só as Melhores do Pop Rock Brasileiro,Lágrimas e chuva,0,273426,False,0.706,0.8,9,-9.421,0,0.0516,0.0332,0.037,0.0488,0.725,122.396,4,mpb
96,96,107,74096,1d9KF847JVwN14mR4zBe8l,Legião Urbana,Legião Urbana,Soldados,48,290733,False,0.589,0.432,10,-14.089,0,0.0361,0.00919,0.195,0.0949,0.605,124.084,4,mpb
97,97,62,74097,6I1xKOKLWzxIuauemavcz3,Titãs,Ressaquinha,Não vou me adaptar,0,221733,False,0.536,0.399,10,-7.579,1,0.0319,0.307,0.000327,0.105,0.476,81.371,4,mpb
98,98,73,74098,2go4N239uPaY9BuXjqBaN7,Kid Abelha,Ressaquinha,Teletema,0,261359,False,0.807,0.457,7,-10.013,1,0.0374,0.66,0.0391,0.181,0.418,122.518,3,mpb
99,99,73,74099,5FTkJggemdWf4Kr6CyWJv1,Kid Abelha,Ressaquinha,"Na rua, na chuva, na fazenda (Casinha de sapé)",0,224373,False,0.754,0.495,0,-10.966,1,0.0322,0.106,0.00316,0.0685,0.807,140.244,4,mpb
100,100,165,74100,2ln8TMs7T1zEctVoifIXjj,Clarice Falcão,Problema Meu,Vinheta,45,78184,False,0.519,0.685,9,-7.171,1,0.0955,0.373,0.0,0.0629,0.745,115.929,4,mpb
101,101,165,74101,6Sk0prnnRQ1SYTSDGxa92x,Seu Jorge,"Musicas para Churrasco, Vol.1 (Ao Vivo) (Delux Edition)",Pessoal Particular (Ao Vivo),47,387720,False,0.634,0.859,2,-5.832,1,0.0567,0.539,3.2e-05,0.693,0.64,112.942,4,mpb
102,102,163,74102,2SZWtoroRuSM60jzsXqVc9,Luiz Gonzaga,Olha Pro Céu,Vem Morena,47,197226,False,0.751,0.444,0,-13.842,0,0.0377,0.434,0.0,0.303,0.956,116.401,4,mpb
103,103,208,74103,7qOUyZN0hKd9f1a4f2TWCD,IVYSON;Templo Sonoro,Poemas Para Quem Chora,Sina,47,221995,True,0.703,0.347,2,-10.079,1,0.0552,0.593,1.54e-06,0.163,0.385,127.897,4,mpb
104,104,158,74104,2arxf0qwSpidhAVwJ7v9gV,Liniker e os Caramelows;Liniker;Caramelows,Remonta,Zero,47,292906,False,0.592,0.42,0,-7.99,1,0.0358,0.402,0.0,0.101,0.441,146.004,4,mpb
105,105,205,74105,1sOoISLSEm5oyDkTfdxiph,Fran;Julio Secchin,Juntin,Juntin,46,179841,True,0.817,0.565,7,-7.947,1,0.261,0.474,0.0,0.158,0.718,125.976,4,mpb
106,106,199,74106,4YNpbmyD7RQUhyBbu8V3HD,ANAVITÓRIA,N,dois rios,47,214054,False,0.672,0.28,11,-14.714,0,0.0286,0.964,0.0157,0.0843,0.312,139.958,4,mpb
107,107,163,74107,6YJIXLfsDa9sR5iTmlCkoX,Dona Ivone Lara,Sempre a Cantar,Alguém Me Avisou/Acreditar/Sonho Meu,47,304866,False,0.585,0.574,5,-8.751,1,0.0925,0.565,0.0,0.368,0.895,91.096,4,mpb
108,108,165,74108,3myP5D9V78ayZyEb7cUGRw,Clarice Falcão,Problema Meu,Banho de Piscina,46,202213,False,0.654,0.707,9,-5.103,0,0.0326,0.263,0.0,0.0736,0.7,126.038,4,mpb
109,109,163,74109,0AhXLjgRJW4d3I356gjwg6,Djavan,"Djavan ""Ao Vivo""",Nem um Dia (Ao Vivo),47,335626,False,0.561,0.663,2,-7.047,0,0.068,0.61,1.91e-05,0.811,0.651,79.596,4,mpb
110,110,158,74110,4zdQnUf0viZCBLaRLtFzCn,Roberta Campos,Último Romance,Último Romance,46,257701,False,0.446,0.442,8,-7.367,0,0.0266,0.684,0.0,0.0891,0.469,144.994,4,mpb
111,111,147,74111,7yd3GzvC8fxsk0m6hyEXGX,Luiza Possi;Thiaguinho,Seguir Cantando,Ainda É Tudo Seu,45,238306,False,0.676,0.5,11,-8.432,0,0.0412,0.422,0.0,0.12,0.124,117.987,4,mpb
112,112,187,74112,6cMlg5JVPidvrXIIIkirJC,Sandy;OUTROEU,"Nós, VOZ, Eles 2",Destruição,46,187274,False,0.45,0.679,1,-8.659,0,0.0683,0.224,0.00114,0.107,0.263,131.758,4,mpb
