,index,popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,cluster_x,PC1,PC2,PCA_EuclidianDist(Xsign),1th_Boundary
916,916,39,148686,False,0.691,0.475,0,-7.743,1,0.0801,0.596,1.16e-06,0.145,0.791,79.041,51,0.5419922777812968,0.43121877673632825,0.9017768024712002,1
917,917,39,204026,False,0.664,0.328,3,-8.88,0,0.0278,0.101,0.0107,0.0954,0.337,116.115,80,-0.5489147938432217,0.38724967094860807,-0.48919562715557974,-1
918,918,40,194717,False,0.598,0.724,11,-6.6,0,0.0356,0.0351,0.0,0.164,0.187,106.068,71,-0.7474610716330132,0.1861907795199428,-0.5311633686244843,-1
919,919,39,230079,False,0.829,0.765,2,-13.297,1,0.0551,0.588,0.015,0.0642,0.927,110.416,51,0.5100432559743822,0.4600432382549416,0.8884286870741136,1
920,920,40,159010,False,0.8,0.678,0,-10.473,1,0.0665,0.0409,0.0343,0.154,0.946,104.989,29,0.44185211677869474,0.1593452739953682,0.7099649764853332,1
921,921,40,128893,False,0.619,0.873,1,-7.428,1,0.0405,0.00225,9e-06,0.614,0.442,87.506,38,0.34287394892207823,-0.1650210813294758,0.6154116318315803,1
922,922,41,200444,False,0.659,0.816,6,-4.524,1,0.0274,0.0889,1.05e-05,0.193,0.874,124.932,21,0.3243136080311959,0.07200082474699362,0.5788093288243179,1
923,923,39,224053,False,0.603,0.61,9,-8.633,1,0.0553,0.621,0.0,0.267,0.775,171.736,49,0.40778369214223487,0.4288548022795653,0.7852361600732072,1
924,924,40,299163,False,0.75,0.819,7,-9.839,0,0.0335,0.536,0.00132,0.665,0.689,116.019,65,-0.5412996685555775,0.5968003571343208,-0.6640980072069499,-1
925,925,39,186311,False,0.809,0.388,9,-7.569,1,0.0304,0.561,0.0,0.181,0.502,121.959,50,0.4074473963555003,0.4753331440121271,0.811282119099811,1
926,926,40,158906,False,0.625,0.891,7,-9.239,1,0.0483,0.0175,0.000112,0.199,0.805,168.451,20,0.29566542245468075,0.010976259114032993,0.5457758070185812,1
927,927,40,178373,False,0.771,0.678,2,-10.703,1,0.291,0.735,0.0,0.189,0.961,90.688,51,0.5232971348685439,0.49709999962954454,0.9192915035110419,1
928,928,39,203666,False,0.32,0.406,1,-7.515,1,0.0282,0.883,0.000799,0.218,0.245,140.192,55,0.5229614392851366,0.3075634837690483,0.8319042512031679,1
929,929,39,266733,False,0.652,0.363,9,-8.62,0,0.0433,0.586,0.000219,0.0661,0.478,96.644,59,-0.5398414349829129,0.7313772923715219,-0.7867151970247256,-1
930,930,40,440346,False,0.473,0.945,7,-5.647,1,0.14,0.0402,0.000181,0.766,0.51,119.922,36,0.2379400814011402,-0.19730576355330198,0.5263222276981117,1
931,931,39,340426,False,0.355,0.348,4,-10.982,1,0.0271,0.818,0.00109,0.378,0.271,87.333,32,0.49057734523124674,0.40243879110584363,0.842859291255957,1
932,932,38,248773,False,0.697,0.746,0,-7.172,0,0.0392,0.246,6.84e-05,0.0726,0.837,130.095,77,-0.49330998061218645,0.407322936054453,-0.47445939858066105,-1
933,933,40,191880,False,0.59,0.756,8,-7.578,0,0.252,0.616,0.0,0.713,0.87,101.589,65,-0.546606961207007,0.6232614897859079,-0.6902395048724785,-1
934,934,41,158824,False,0.705,0.868,2,-5.477,1,0.0808,0.0102,0.000638,0.799,0.355,124.032,38,0.32127773978492047,-0.19856323466821402,0.6048021280846089,1
935,935,40,150666,False,0.56,0.771,6,-6.631,1,0.0284,0.105,1.11e-06,0.833,0.658,90.009,36,0.3264657123275967,0.030504374207497076,0.5772722358949497,1
936,936,40,245367,False,0.643,0.184,0,-10.913,1,0.0304,0.904,0.0,0.112,0.256,79.993,55,0.5928398889660739,0.5581921040344291,1.010919137932766,1
937,937,40,262560,False,0.51,0.674,9,-6.274,1,0.0296,0.0811,1.28e-06,0.105,0.422,77.46,23,0.24974985870487898,-0.0013325755390668492,0.4997516353481135,1
938,938,39,293653,False,0.628,0.728,4,-6.87,1,0.0459,0.736,0.0,0.609,0.776,107.993,31,0.48015634996530254,0.3961480544634498,0.830699450132134,1
939,939,38,266773,False,0.447,0.466,7,-8.746,1,0.0406,0.667,8.68e-06,0.925,0.238,74.672,33,0.4125130312553221,0.3012721929821963,0.7277969846374861,1
940,940,39,337819,False,0.694,0.742,11,-6.271,0,0.0669,0.604,0.0,0.393,0.843,105.957,65,-0.5820499370593684,0.7005823368393775,-0.7752888309478304,-1
941,941,39,242106,False,0.661,0.806,9,-9.672,1,0.0272,0.178,4.49e-05,0.117,0.775,103.777,21,0.30475609384726965,0.1827178751746696,0.5840720379961934,1
942,942,39,214573,False,0.749,0.657,9,-5.988,0,0.0337,0.377,0.0,0.136,0.847,137.939,75,-0.5789726712592623,0.6138576330840506,-0.6964511555960027,-1
943,943,38,192920,False,0.496,0.413,5,-11.456,1,0.033,0.697,2.26e-05,0.0682,0.358,78.821,55,0.461406041813202,0.4087577161934517,0.8204763414480722,1
944,944,40,224226,False,0.51,0.674,7,-6.599,1,0.0298,0.5,0.0125,0.887,0.177,130.024,34,0.34637606842868396,0.08391012882733209,0.6022502176954972,1
945,945,39,225420,False,0.645,0.511,7,-8.542,1,0.027,0.622,0.0,0.161,0.554,115.032,50,0.4274264661316839,0.41566199132221204,0.7947839379640281,1
946,946,39,39682,False,0.6,0.589,7,-8.277,1,0.0681,0.0361,9e-05,0.117,0.5,108.037,23,0.30348332532212163,0.04952665874035117,0.5556947735363512,1
947,947,40,289173,False,0.484,0.882,7,-5.704,1,0.0388,0.0444,0.00075,0.974,0.298,102.981,35,0.24379934235391987,-0.20260218612859116,0.5337466031116713,1
948,948,39,217560,False,0.445,0.402,0,-10.781,1,0.0283,0.709,2.11e-06,0.108,0.231,129.944,55,0.5187037265698812,0.2809482188403607,0.818435899085563,1
